,trait,n_samples_used,Ridge_raw,LASSO_raw,ENet_raw,RF_raw,SVRlin_raw,XGB_raw,Ridge_pca,LASSO_pca,ENet_pca,RF_pca,SVRlin_pca,XGB_pca
mean_R2,Cobalt_Chloride,1007,0.047073019212752094,-0.02933705372747683,0.0043388398405378534,0.39236147368263263,0.07690314928364568,0.4211790759194963,0.4203717749188548,0.4212830952266492,0.42080645135085376,0.16627478936717918,0.3746900732496286,0.23407569762547578
std_R2,Cobalt_Chloride,1007,0.09394743994414957,0.11147506442118343,0.10271054854552024,0.053379013759646994,0.09139373667627299,0.05211724304203604,0.05288837335100131,0.05288872939111298,0.05289641035924374,0.031844754409622304,0.05842122632872904,0.03847907531627932
mean_R2,Tunicamycin,1006,0.354172164570493,0.3506602826389493,0.36814026570671177,0.38125411713650176,0.36530021318944395,0.44233522145582754,0.5782338645705241,0.5786133415939642,0.5784084988009452,0.17920628870998442,0.5431195035259736,0.26112888404736206
std_R2,Tunicamycin,1006,0.06888188667597968,0.07759284246289604,0.07642906985227191,0.025947052026477752,0.06904247059923553,0.02394954581800233,0.04663864170134801,0.04654692432832737,0.04659977996734916,0.02667495130554651,0.048077419609538034,0.029941762154145776
mean_R2,YNB,1006,0.25867256280142426,0.3126003580059232,0.2889037546654164,0.39309424549894134,0.31274213525080596,0.4395210077298172,0.47225301175568224,0.4744792232732148,0.47338456109988775,0.13806393892423194,0.4464307264578364,0.1976308474690617
std_R2,YNB,1006,0.06358116063028528,0.06868778553511506,0.07128629957786801,0.05219256113589408,0.0636166505120453,0.042988961194998274,0.04974626508634037,0.04861970702402088,0.04918609215363517,0.0256994161066684,0.05744194201227909,0.031293334081533807
mean_R2,Magnesium_Sulfate,1006,-0.21173944642525133,-0.27171296507829684,-0.2391727524451072,0.40832286387827227,-0.1745925066088628,0.4438780160337241,0.27770420556069597,0.28014143016773885,0.2788911119608959,0.12983279410507845,0.2858864918194486,0.21191933706322721
std_R2,Magnesium_Sulfate,1006,0.24715159083072463,0.2627140883143405,0.26097337397351117,0.0989410689303319,0.23842517108201255,0.07967074191180096,0.09033663617774111,0.0892597471837495,0.08982197204279496,0.043748172223719496,0.04468230566270896,0.04441968805777114
mean_R2,YPD,1006,0.1948168821767183,0.2084306746501807,0.20684389448453705,0.4483085483193431,0.232705611318229,0.48284229543399476,0.4768839655650745,0.4779889309107386,0.47742351561689955,0.1418385489766037,0.463878994394627,0.2135380656957477
std_R2,YPD,1006,0.08918082673400066,0.0950091417637491,0.09638341010883672,0.05375531342377523,0.08431115826302753,0.047590118450263966,0.06532088354216474,0.0648425832892944,0.06509398585634409,0.02977710359155465,0.059328989185560094,0.042909134158746885
mean_R2,Maltose,1005,0.2707770475904185,0.22071436271324393,0.24612615275108105,0.8030218882671442,0.2937248688538423,0.7951002772504009,0.4734012896325484,0.4741311959304653,0.47374899784778407,0.14620754081825743,0.4285728115299004,0.21926477528540247
std_R2,Maltose,1005,0.0921563181769234,0.08713691294295914,0.08537803436587688,0.03882673861948803,0.08889552768386093,0.0392193093197092,0.05683352223333996,0.05653929355914305,0.05669389312554182,0.02929532275384338,0.06556867330352208,0.030802892021374168
mean_R2,Neomycin,1005,0.4050584394139481,0.3574978803183466,0.3876872017335711,0.4718480983883416,0.41340696629349805,0.5155054325232789,0.573657075850267,0.5738441056660544,0.573735390360223,0.1896027403975343,0.5458813483203727,0.2748081039742003
std_R2,Neomycin,1005,0.06838336595533707,0.05615040145482486,0.05663831198649523,0.050623369440309034,0.06753413918073214,0.046246067330237395,0.04263753487600978,0.042642630837757975,0.04264376897565537,0.028135766071505242,0.03855796105800655,0.031821828488331205
mean_R2,Menadione,1005,-0.1490615316452385,-0.09018557308750229,-0.1319369282969422,0.3941299766559075,-0.05299966257997021,0.4002053506349917,0.3485444510688302,0.35229322600265933,0.3504411524651024,0.139157042949505,0.30064052165401656,0.195994917508329
std_R2,Menadione,1005,0.11288414054247946,0.12495517004784429,0.12784664674852972,0.047570268196372355,0.09988242618516492,0.04955988855416063,0.06289748346313512,0.062176308397212623,0.06255159875580704,0.026082972129139965,0.07189044800034476,0.03708111441248066
mean_R2,YPD:15C,1005,-0.2089754905928202,-0.21844194870900055,-0.1897674571840274,0.41628957296138724,-0.16914883567330105,0.41430195056071395,0.28500670566043185,0.2863492918147029,0.28565097719441873,0.10085704349599581,0.24319679874467826,0.1381587942719466
std_R2,YPD:15C,1005,0.11574308883533689,0.10562187623602048,0.0996318016178943,0.040025493242814555,0.11202582149211612,0.04184573370739562,0.06070806975873792,0.06022876978073721,0.060481274184957245,0.015475666453398275,0.06843880988179643,0.029017630892348587
mean_R2,x4NQO,1005,0.2706754879032756,0.2732738422870501,0.29167470544234325,0.5373780621386124,0.28503363574576346,0.5712745983486958,0.4765355379167226,0.4768840728013721,0.47668856313531677,0.12553879584938765,0.4762869543912558,0.19997227011954377
std_R2,x4NQO,1005,0.09810998026045871,0.10232602202682337,0.09706957823637924,0.060235723459302865,0.09540929427990122,0.05693901127156824,0.06920610202987014,0.06899441527608204,0.06911387033237258,0.03307629045850155,0.06548821039138404,0.04619680676597182
mean_R2,E6_Berbamine,1005,-0.09072332995924161,-0.1586089991176641,-0.09456096814560144,0.26935554137833845,-0.07965806616811548,0.3293578036694336,0.337702305260019,0.33804241153583997,0.3378425373937332,0.11166045095591785,0.2872674143070474,0.1740123090191762
std_R2,E6_Berbamine,1005,0.1272480507194724,0.16109589974970306,0.13883352837465965,0.03146340945517044,0.12582753428079438,0.03667519514164025,0.06876302122928225,0.06865171000571856,0.06872034260456719,0.035572067076139566,0.06984847102692113,0.04505708035880262
mean_R2,Lactose,1004,0.2942301181932313,0.3226013973283696,0.3169873408076823,0.5163529364211961,0.32561826183572357,0.542153655321644,0.5285394698045807,0.5301080523973988,0.5293157305387975,0.19501053476772726,0.516035957241829,0.288637354094026
std_R2,Lactose,1004,0.10090928750840601,0.10160285966366812,0.1027611895983019,0.04314682321152294,0.09286966167277878,0.04040134935168657,0.047839304869543575,0.04712986523943792,0.047491466042298196,0.028759577886667817,0.05438231308702369,0.0321839940237982
